Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
college saint exupery vincennes,8,8,880,28,0.00,https://www.cougnaud-construction.com/realisations/college-saint-exupery/,4,0.26,0.00,0,100,"[31,25,11,37,100,84,68,68,46,31,20,31]",2023-06-23,"Local pack, Sitelinks, Reviews, Find results on, Indented, Related searches","commercial, navigational",Organic
esid toulon,8,8,170,16,0.00,https://www.cougnaud-construction.com/realisations/esid-toulon/,4,0.26,0.00,0,92,"[80,80,53,42,53,65,53,42,65,80,100,80]",2023-06-24,"Knowledge panel, Image, Indented, Related searches","informational, transactional",Organic
construction bureau,2,2,40,13,1.13,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/bureaux-prefabriques/,3,0.19,3.00,0.43,344000000,"[15,9,9,15,12,6,6,15,12,15,12,15]",2023-06-09,"Local pack, Image pack, Reviews, People also ask, Find results on, Indented, Related searches",informational,Organic
classement paris fc,3,3,1000,41,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,3,0.19,0.00,0,71,"[5,0,0,1,1,2,8,7,13,100,10,28]",2023-06-22,"Instant answer, Image pack, People also ask, Indented, Related searches",informational,People also ask
construction modulable bois,5,5,70,11,0.92,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/construction-modulaire-bois/,3,0.19,2.00,1,11400000,"[23,29,36,23,0,12,5,0,0,0,0,0]",2023-06-20,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",commercial,Organic
structure modulaire,7,7,140,34,1.68,https://www.cougnaud-construction.com/,3,0.19,5.00,1,3730000,"[65,65,53,53,26,42,65,42,42,53,65,42]",2023-06-03,"Knowledge panel, Sitelinks, Reviews, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
construction modulable,5,5,140,43,1.63,https://www.cougnaud-construction.com/,3,0.19,4.00,0.96,10900000,"[53,66,66,23,35,43,28,17,23,23,28,28]",2023-06-07,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
cougnaud modulaire,2,2,140,20,1.26,https://www.cougnaud-construction.com/,3,0.19,3.00,0.62,88,"[34,53,42,26,53,80,65,42,100,53,65,42]",2023-06-24,"Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
modulaire bois,3,3,50,19,1.12,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/construction-modulaire-bois/,3,0.19,3.00,1,6810000,"[6,22,10,14,6,10,14,14,6,10,10,14]",2023-05-30,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Related searches",informational,Organic
fob,28,32,5400,39,0.44,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/fob/,3,0.19,1.00,0,116000000,"[66,54,44,44,66,100,100,81,81,66,81,66]",2023-06-25,"Instant answer, Image pack, Sitelinks, People also ask, Related searches, See results about",informational,Organic
metallique bois,9,9,170,16,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/,3,0.19,0.00,0.44,87600000,"[0,0,0,53,65,100,65,65,81,65,65,81]",2023-06-23,"Local pack, Image pack, Reviews, Image, Find results on, Related searches",informational,Organic
cavendee,17,19,1300,25,1.06,https://www.cougnaud-construction.com/bootcamp-du-concours-accelerons/,3,0.19,3.00,0,68,"[54,54,54,54,54,54,41,36,100,41,41,54]",2023-06-25,"Image pack, Reviews, Indented, Related searches","informational, transactional",Organic
gustave roussy,20,18,18100,58,2.15,https://www.cougnaud-construction.com/realisations/laboratoire-institut-gustave-roussy/,2,0.13,4.00,0.03,2580000,"[81,66,81,54,100,100,100,100,100,81,100,81]",2023-06-25,"Knowledge panel, Sitelinks, Reviews, Image, Ads bottom, Video Carousel, People also ask, Twitter carousel, Indented, Related searches",navigational,Organic
cougnaud pibrac,8,8,110,18,0.84,https://www.cougnaud-construction.com/,2,0.13,1.00,0.07,94,"[52,64,82,64,52,82,64,52,64,82,64,82]",2023-05-31,"Local pack, Image, Ads bottom, Find results on, Indented, Related searches",commercial,Organic
murs mob,4,4,90,16,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/mob-bois/,2,0.13,0.00,0.15,76600000,"[100,81,63,63,81,100,81,63,81,63,100,81]",2023-06-11,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
prefabriques,2,2,50,22,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,2,0.13,1.00,0.95,5620000,"[100,53,11,15,3,19,0,0,7,0,0,19]",2023-06-15,"Knowledge panel, Local pack, Sitelinks, Reviews, Video Carousel, People also ask, Find results on, Indented, Related searches",informational,Organic
batiment scolaire,4,4,40,27,1.23,https://www.cougnaud-construction.com/scolaire/,2,0.13,2.00,0.03,2940000,"[14,14,14,14,14,14,14,78,14,14,64,78]",2023-06-24,"Knowledge panel, Reviews, People also ask, Indented, Related searches",informational,Organic
maison des communes85,13,13,1300,18,0.00,https://www.cougnaud-construction.com/realisations/maison-des-communes/,2,0.13,0.00,0,17,"[81,81,62,45,81,81,62,81,81,81,100,62]",2023-06-24,"Image pack, Sitelinks, Reviews, Related searches",navigational,Organic
mur mob,3,3,90,16,0.00,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/mob-bois/,2,0.13,0.00,0.15,4880000,"[28,23,17,17,23,28,23,17,23,17,28,23]",2023-06-03,"Image pack, Reviews, Image, People also ask, Related searches",informational,Organic
cougnaud modulaire,3,3,140,20,1.26,https://www.cougnaud-construction.com/construction-modulaire/,2,0.13,2.00,0.62,88,"[34,53,42,26,53,80,65,42,100,53,65,42]",2023-06-24,"Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
pre fabriqué,8,8,90,29,1.48,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,2,0.13,2.00,0.32,70700000,"[0,0,0,0,0,0,0,0,0,0,100,0]",2023-06-21,"Knowledge panel, Local pack, Sitelinks, Find results on, Indented, Related searches",informational,Organic
gare maritime nantes,16,16,880,19,0.00,https://www.cougnaud-construction.com/realisations/point-d-accueil-finist-merc/,2,0.13,0.00,0,3120000,"[66,66,54,54,30,30,24,20,20,24,24,41]",2023-06-25,"Knowledge panel, Image pack, Reviews, Image, People also ask, Indented, Related searches","informational, navigational",Organic
mob bois,2,2,90,12,0.87,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/mob-bois/,2,0.13,1.00,0.18,7150000,"[64,78,64,35,64,78,78,50,64,100,100,100]",2023-06-04,"Local pack, Image pack, Sitelinks, Reviews, Image, Ads bottom, People also ask, Find results on, Indented, Related searches",informational,Organic
prefabrique ecole,4,4,50,7,1.84,https://www.cougnaud-construction.com/scolaire/construction-ecole-modulaire/,2,0.13,4.00,0.62,35300,"[5,5,5,5,28,28,28,5,5,28,5,17]",2023-05-30,"Knowledge panel, Image pack, Reviews, Ads bottom, People also ask, Indented, Related searches",informational,Organic
bureau modulaire,17,17,720,6,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/bureaux-prefabriques/,2,0.13,1.00,1,9680000,"[16,62,62,55,55,30,36,16,20,81,100,36]",2023-06-20,"Image pack, Reviews, Image, Ads bottom, Indented, Related searches",informational,Organic
cse cougnaud,7,7,260,12,0.00,https://www.cougnaud-construction.com/realisations/restaurant-dentreprise/,2,0.13,0.00,0,80,"[28,23,23,23,54,23,100,100,54,23,23,35]",2023-06-16,"Image pack, Sitelinks, Indented",navigational,Organic
préfabriqué modulaire,4,4,40,17,1.10,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,2,0.13,2.00,1,715000,"[21,78,14,78,14,14,14,14,14,21,21,14]",2023-06-04,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches",informational,Organic
collège alice guy,8,8,480,29,0.00,https://www.cougnaud-construction.com/realisations/college-alice-guy/,2,0.13,0.00,0,1010000,"[81,81,54,23,81,66,66,81,100,44,100,44]",2023-06-11,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, FAQ, Indented, Related searches",navigational,Organic
architecture modulaire,14,14,390,15,1.22,https://www.cougnaud-construction.com/construction-modulaire-2/architecture-modulaire/,1,0.06,1.00,0.09,4310000,"[67,29,19,15,54,100,81,29,36,36,54,54]",2023-06-15,"Knowledge panel, Image pack, Image, People also ask, Related searches",informational,Organic
paris fc vs,8,8,140,28,0.00,https://www.cougnaud-construction.com/realisations/centre-dentrainement/,1,0.06,0.00,0,87,"[44,2,2,29,19,15,6,6,44,15,23,15]",2023-06-23,"Image pack, Sitelinks, People also ask, Twitter carousel, Related searches",informational,People also ask
cougnaud nice,4,4,50,19,0.79,https://www.cougnaud-construction.com/,1,0.06,1.00,0.1,86,"[18,18,100,18,18,18,100,18,18,100,100,18]",2023-05-31,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
cougnaud lestrem,5,5,110,20,0.88,https://www.cougnaud-construction.com/,1,0.06,0.00,0.11,64,"[80,52,52,52,52,52,52,52,80,52,52,42]",2023-06-11,"Knowledge panel, Reviews, Indented, Related searches",navigational,Organic
collége saint exupery,37,38,3600,38,0.00,https://www.cougnaud-construction.com/realisations/college-saint-exupery/,1,0.06,0.00,0,6990000,"[0,0,0,66,100,66,0,36,7,19,0,5]",2023-06-25,"Local pack, Image pack, Sitelinks, Reviews, People also ask, Find results on, Indented, Related searches","commercial, navigational",Organic
comité d'entreprise airbus,26,26,1000,20,0.00,https://www.cougnaud-construction.com/realisations/bureaux-ce-airbus/,1,0.06,0.00,0,3580000,"[0,0,0,0,0,0,0,0,0,0,100,100]",2023-06-23,"Local pack, Image pack, Sitelinks, Reviews, Indented, Related searches",informational,Organic
centre de formation paris fc,5,5,210,28,0.47,https://www.cougnaud-construction.com/realisations/centre-de-formation/,1,0.06,0.00,0.03,11200000,"[100,82,43,35,53,35,28,35,35,53,53,53]",2023-05-29,"Local pack, Image, Find results on, Indented, Related searches","informational, transactional",Organic
systel s.a,9,9,170,29,0.00,https://www.cougnaud-construction.com/realisations/siege-social-systel/,1,0.06,0.00,0,388000,"[100,100,100,66,66,80,100,80,80,66,52,42]",2023-06-21,"Knowledge panel, Sitelinks, Reviews, Related searches",navigational,Organic
yves cougnaud,6,6,170,44,0.00,https://www.cougnaud-construction.com/,1,0.06,0.00,0,87,"[1,1,1,1,2,1,1,1,1,1,1,1]",2023-06-14,"Local pack, Sitelinks, Reviews, Find results on, Indented, Related searches","commercial, navigational",Organic
prefabriques,3,3,50,22,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/batiments-prefabriques/,1,0.06,0.00,0.95,5620000,"[100,53,11,15,3,19,0,0,7,0,0,19]",2023-06-15,"Knowledge panel, Local pack, Sitelinks, Reviews, Video Carousel, People also ask, Find results on, Indented, Related searches",informational,Organic
modulaires,6,6,210,38,1.02,https://www.cougnaud-construction.com/,1,0.06,1.00,0.27,9190000,"[100,44,35,18,28,28,23,18,44,23,23,18]",2023-06-25,"Instant answer, Local pack, Sitelinks, Reviews, People also ask, Find results on, Indented, Related searches","commercial, informational",Organic
construction modulaires,5,5,140,41,1.63,https://www.cougnaud-construction.com/,1,0.06,1.00,0.96,9360000,"[36,19,6,2,6,100,9,1,12,6,5,2]",2023-06-23,"Knowledge panel, Local pack, Sitelinks, Reviews, Ads bottom, People also ask, Find results on, Indented, Related searches",commercial,Organic
collège saint exupéry vincennes,8,8,210,27,0.00,https://www.cougnaud-construction.com/realisations/college-saint-exupery/,1,0.06,0.00,0,89,"[23,6,1,6,35,28,66,66,100,81,5,3]",2023-06-18,"Local pack, Image pack, Sitelinks, Reviews, Image, Find results on, Indented, Related searches","commercial, navigational",Organic
ossature,33,33,2400,43,0.32,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/ossature-bois/,1,0.06,0.00,0.02,12100000,"[66,52,44,36,66,80,80,66,66,66,100,80]",2023-06-24,"Instant answer, Sitelinks, Reviews, People also ask, Related searches, See results about",informational,Organic
cougnaud service,8,8,260,25,0.82,https://www.cougnaud-construction.com/,1,0.06,0.00,0.15,124000,"[66,54,54,54,54,54,54,44,8,23,23,35]",2023-06-18,"Local pack, Image pack, Sitelinks, Reviews, Tweet, Image, Indented, Related searches",navigational,Organic
batiment administratif,11,11,210,20,1.41,https://www.cougnaud-construction.com/realisations/faurecia/,1,0.06,1.00,0.01,2490000,"[100,65,43,43,81,100,65,65,81,65,65,81]",2023-06-04,"Local pack, Image pack, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
batiment administratif,12,12,210,20,1.41,https://www.cougnaud-construction.com/realisations/extension-batiment-administratif/,1,0.06,1.00,0.01,2490000,"[100,65,43,43,81,100,65,65,81,65,65,81]",2023-06-04,"Local pack, Image pack, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
préfabriquée,17,17,720,23,0.95,https://www.cougnaud-construction.com/construction-modulaire/construction-prefabriques/,1,0.06,0.00,0.95,1140000,"[2,31,20,1,0,100,68,68,84,100,0,0]",2023-06-19,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Indented, Related searches, See results about","informational, transactional",Organic
module bois,11,11,90,8,0.54,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/,1,0.06,0.00,1,20800000,"[78,50,50,64,50,64,64,64,64,64,78,78]",2023-05-29,"Image pack, Sitelinks, Reviews, Image, Video Carousel, Indented, Related searches",informational,Organic
bureaux administratifs,9,9,110,8,1.83,https://www.cougnaud-construction.com/realisations/bureaux-administratif-stade-rennais/,1,0.06,1.00,1,6140000,"[42,34,19,53,19,26,80,19,26,34,100,42]",2023-06-14,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
batiment modulaires,4,4,70,31,2.64,https://www.cougnaud-construction.com/,1,0.06,4.00,1,6100000,"[78,78,35,78,78,64,78,21,50,0,7,0]",2023-06-04,"Local pack, Image pack, Sitelinks, Reviews, Image, Ads bottom, Find results on, Indented, Related searches",commercial,Organic
maison des communes de la vendée,5,5,140,24,0.00,https://www.cougnaud-construction.com/realisations/maison-des-communes/,1,0.06,0.00,0,4320000,"[52,52,9,42,66,80,80,66,100,52,80,42]",2023-06-21,"Knowledge panel, Image pack, Sitelinks, Reviews, Indented, Related searches",navigational,Organic
architectures modulaires,10,10,210,14,1.22,https://www.cougnaud-construction.com/construction-modulaire-2/architecture-modulaire/,1,0.06,1.00,0.09,6610000,"[0,0,0,0,81,100,54,23,44,54,54,35]",2023-06-10,"Image pack, Reviews, People also ask, Related searches",informational,Organic
modulaire cougnaud,2,2,40,10,1.06,https://www.cougnaud-construction.com/,1,0.06,1.00,0.87,85,"[36,27,18,18,63,27,18,27,45,45,36,36]",2023-06-13,"Image pack, Sitelinks, Reviews, Indented, Related searches",informational,Organic
constructions modulaires bois,5,5,40,14,0.92,https://www.cougnaud-construction.com/construction-modulaire/bois-metal-beton/construction-bois/construction-modulaire-bois/,1,0.06,0.00,1,4630000,"[7,28,21,14,21,50,50,7,21,21,7,35]",2023-06-10,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
paris fc centre de formation,3,3,170,30,0.49,https://www.cougnaud-construction.com/realisations/centre-de-formation/,1,0.06,0.00,0.03,12100000,"[100,81,53,34,43,43,34,43,43,53,43,53]",2023-06-01,"People also ask, Indented, Related searches","informational, transactional",Organic
cookie maps,7,7,50,18,0.00,https://www.cougnaud-construction.com/informations-sur-les-cookies/,1,0.06,0.00,0,7480000000,"[78,78,64,14,78,50,14,14,14,14,14,14]",2023-06-15,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
