Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
douches vestiaires,2,2,70,11,3.85,https://www.portakabin.com/fr/nos-batiments/notre-gamme-de-produits/bloc-sanitaire-prefabrique/toilettes-douches-et-vestiaires/,5,0.19,19.00,1,7590000,"[41,23,23,23,23,23,29,82,29,29,100,52]",2023-06-14,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
bloc sanitaire préfabriqué prix,7,7,210,10,0.63,https://www.portakabin.com/fr/nos-batiments/notre-gamme-de-produits/bloc-sanitaire-prefabrique/,5,0.19,3.00,1,74600,"[43,53,53,53,53,53,43,43,53,82,66,66]",2023-06-23,"Image pack, Sitelinks, Reviews, Image, Indented, Related searches",transactional,Organic
locaux technique,3,3,170,18,0.91,https://www.portakabin.com/fr/nos-batiments/etablissements-scolaires/locaux-techniques/,5,0.19,4.00,0.15,98000000,"[66,54,35,29,22,22,100,10,18,14,22,18]",2023-06-20,"Knowledge panel, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
locaux technique,4,4,170,18,0.91,https://www.portakabin.com/fr/nos-batiments/etablissements-de-sante/non-clinique/locaux-techniques/,5,0.19,4.00,0.15,98000000,"[66,54,35,29,22,22,100,10,18,14,22,18]",2023-06-20,"Knowledge panel, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
blocs sanitaires,6,6,170,2,0.70,https://www.portakabin.com/fr/nos-batiments/toilettes-douches-et-vestiaires/toilettes/,5,0.19,3.00,1,3410000,"[22,35,22,100,54,43,43,10,8,18,22,22]",2023-06-15,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
douches vestiaires,3,3,70,11,3.85,https://www.portakabin.com/fr/nos-batiments/toilettes-douches-et-vestiaires/,4,0.15,15.00,1,7590000,"[41,23,23,23,23,23,29,82,29,29,100,52]",2023-06-14,"Image pack, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
portakabin templemars,10,10,140,26,20.97,http://www.portakabin.com/fr/,4,0.15,102.00,0.19,91,"[66,52,52,66,42,52,66,66,52,66,66,66]",2023-06-01,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches",informational,Knowledge panel
location préfabriqué,3,3,50,7,1.69,https://www.portakabin.com/fr/pourquoi-portakabin/options-dacquisition/location/,4,0.15,6.00,0.54,297000,"[5,5,5,3,4,5,5,4,4,4,7,4]",2023-06-06,"Knowledge panel, Sitelinks, Reviews, Image, Ads bottom, Indented, Related searches",commercial,Organic
portakabin occasion,3,3,140,19,0.71,http://www.portakabin.com/be-nl/,4,0.15,2.00,0.84,47,"[53,65,53,53,53,42,100,53,65,53,42,53]",2023-06-19,"Local pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Local pack
constructions modulaires,7,7,260,42,1.63,https://www.portakabin.com/fr/,4,0.15,6.00,0.96,353000,"[54,54,54,35,29,54,43,100,54,54,54,35]",2023-06-23,"Knowledge panel, Local pack, Sitelinks, Reviews, People also ask, Find results on, Related searches",commercial,Organic
portakabine,1,1,170,23,18.72,http://www.portakabin.com/fr/,4,0.15,74.00,0.99,924,"[36,44,15,12,15,23,100,19,15,15,6,9]",2023-06-14,"Local pack, Image pack, Sitelinks, Reviews, Image, Indented, See results about",navigational,Local pack
bloc sanitaire autonome,4,4,90,1,0.64,https://www.portakabin.com/fr/nos-batiments/toilettes-douches-et-vestiaires/toilettes/,3,0.11,2.00,1,887000,"[12,34,15,12,34,34,28,34,15,28,43,34]",2023-05-30,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
portakabin templemars,2,2,140,26,20.97,https://www.portakabin.com/fr/,3,0.11,76.00,0.19,91,"[66,52,52,66,42,52,66,66,52,66,66,66]",2023-06-01,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches",informational,Organic
classe ecole,12,12,1300,35,0.78,https://www.portakabin.com/fr/nos-batiments/etablissements-scolaires/salles-de-classe/,3,0.11,2.00,0.01,65500000,"[62,100,55,62,100,81,62,55,81,62,100,81]",2023-06-20,"Image pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Related searches, See results about",informational,Organic
batiments modulaire,8,8,170,39,2.44,https://www.portakabin.com/fr/,3,0.11,7.00,1,5240000,"[23,36,36,23,15,19,19,23,12,36,36,44]",2023-05-31,"Local pack, Image pack, Sitelinks, Reviews, Ads bottom, People also ask, Find results on, Indented, Related searches",informational,Organic
bureaux modulaires,18,18,1000,6,0.95,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/,3,0.11,2.00,1,1620000,"[44,44,65,82,34,34,13,34,34,5,4,5]",2023-06-22,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
prefabrique ecole,3,3,50,7,1.84,https://www.portakabin.com/fr/nos-batiments/etablissements-scolaires/ecoles-entieres/,3,0.11,5.00,0.62,35300,"[5,5,5,5,28,28,28,5,5,28,5,17]",2023-05-30,"Knowledge panel, Image pack, Reviews, Ads bottom, People also ask, Indented, Related searches",informational,Organic
portakabine,1,1,170,23,18.72,http://www.portakabin.com/,3,0.11,56.00,0.99,924,"[36,44,15,12,15,23,100,19,15,15,6,9]",2023-06-14,"Local pack, Image pack, Sitelinks, Reviews, Image, Indented, See results about",navigational,Local pack
portakabin prix,4,4,50,11,0.79,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/bureau-modulaire-occasion/,3,0.11,2.00,0.99,75,"[50,28,28,35,35,78,35,21,50,50,35,28]",2023-06-14,"Image pack, Sitelinks, Reviews, Image, Indented, Related searches",transactional,Organic
portacabins,3,3,70,31,14.87,https://www.portakabin.com/gb-en/,2,0.07,29.00,1,1730000,"[100,3,6,3,0,3,43,0,81,3,3,6]",2023-06-23,"Knowledge panel, Local pack, Reviews, Find results on, Indented, Related searches",commercial,Local pack
portacabins,3,3,70,31,14.87,https://www.portakabin.com/gb-en/,2,0.07,29.00,1,1730000,"[100,3,6,3,0,3,43,0,81,3,3,6]",2023-06-23,"Knowledge panel, Local pack, Reviews, Find results on, Indented, Related searches",commercial,Local pack
douche vestiaires,3,3,40,8,3.85,https://www.portakabin.com/fr/nos-batiments/toilettes-douches-et-vestiaires/,2,0.07,7.00,1,6030000,"[17,17,11,11,11,17,100,5,17,11,29,11]",2023-06-13,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
préfabriqués,16,16,720,26,0.95,https://www.portakabin.com/lu-fr/pourquoi-modulaire/qu-est-ce-qu-un-batiment-modulaire/,2,0.07,1.00,0.95,3680000,"[54,36,0,36,66,20,20,36,16,30,10,24]",2023-06-23,"Knowledge panel, Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
bureaux mobiles,7,7,70,6,1.93,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/,2,0.07,3.00,1,517000000,"[28,23,12,17,12,5,5,7,7,100,12,12]",2023-06-14,"Image pack, Reviews, Image, Ads bottom, Indented, Related searches",commercial,Organic
portakabin rennes,10,10,70,24,24.84,http://www.portakabin.com/fr/,2,0.07,49.00,0.69,69,"[23,23,23,33,19,33,52,33,42,9,33,14]",2023-06-09,"Knowledge panel, Image pack, Reviews, Image, Ads top, Indented, Related searches","navigational, transactional",Knowledge panel
batiment prefabrique,6,6,70,7,1.53,https://www.portakabin.com/lu-fr/pourquoi-modulaire/qu-est-ce-qu-un-batiment-modulaire/,2,0.07,3.00,1,52500,"[100,100,36,18,100,81,63,36,45,36,45,63]",2023-06-04,"Image pack, Reviews, Image, Related searches",informational,Organic
bureau modulaire occasion,2,3,70,8,0.98,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/bureau-modulaire-occasion/,2,0.07,1.00,1,87,"[64,78,64,35,64,50,64,35,64,64,50,50]",2023-06-25,"Local pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
batiment modulable,9,9,320,36,2.64,https://www.portakabin.com/fr/,2,0.07,5.00,1,7250000,"[72,88,59,88,14,17,14,5,11,11,11,11]",2023-06-19,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
constructeur modulaire,11,11,590,37,1.63,https://www.portakabin.com/fr/,2,0.07,3.00,0.96,9330000,"[54,54,54,54,0,3,0,10,2,0,0,30]",2023-06-13,"Local pack, Image pack, Sitelinks, Reviews, Find results on, Indented, Related searches",commercial,Organic
batiments modulaire,9,9,170,39,2.44,https://www.portakabin.com/fr/pourquoi-modulaire/quest-ce-que-la-construction-modulaire/,2,0.07,5.00,1,5240000,"[23,36,36,23,15,19,19,23,12,36,36,44]",2023-05-31,"Local pack, Image pack, Sitelinks, Reviews, Ads bottom, People also ask, Find results on, Indented, Related searches",informational,Organic
portakabine,1,1,170,23,18.72,https://www.portakabin.com/fr/,2,0.07,37.00,0.99,924,"[36,44,15,12,15,23,100,19,15,15,6,9]",2023-06-14,"Local pack, Image pack, Sitelinks, Reviews, Image, Indented, See results about",navigational,Organic
bureau occasion,21,21,1000,26,0.64,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/bureau-modulaire-occasion/,1,0.03,0.00,1,124000000,"[62,55,55,81,100,81,62,81,81,62,100,45]",2023-06-21,"Local pack, Sitelinks, Reviews, Image, Video Carousel, Find results on, Related searches",commercial,Organic
douche vestiaires,4,4,40,8,3.85,https://www.portakabin.com/fr/nos-batiments/notre-gamme-de-produits/bloc-sanitaire-prefabrique/toilettes-douches-et-vestiaires/,1,0.03,3.00,1,6030000,"[17,17,11,11,11,17,100,5,17,11,29,11]",2023-06-13,"Image pack, Reviews, Image, Indented, Related searches",informational,Organic
brentford football club,37,35,4400,42,0.00,https://www.portakabin.com/gb-en/case-studies/brentford-football-club/,1,0.03,0.00,0,17300000,"[3,0,4,29,8,12,16,29,66,66,44,100]",2023-06-25,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, Twitter carousel, Indented, Related searches",informational,Organic
ucb,32,32,1900,20,0.00,https://www.portakabin.com/lu-fr/etudes-de-cas/ucb/,1,0.03,0.00,0,65400000,"[79,79,66,79,79,79,79,79,100,79,100,79]",2023-06-20,"Local pack, Image pack, Sitelinks, Reviews, Indented, See results about",transactional,Organic
modulaires,7,7,210,38,1.02,https://www.portakabin.com/fr/,1,0.03,1.00,0.27,9190000,"[100,44,35,18,28,28,23,18,44,23,23,18]",2023-06-25,"Instant answer, Local pack, Sitelinks, Reviews, People also ask, Find results on, Indented, Related searches","commercial, informational",Organic
modulaires,8,0,210,38,1.02,https://www.portakabin.com/lu-fr/pourquoi-modulaire/qu-est-ce-qu-un-batiment-modulaire/,1,0.03,1.00,0.27,9190000,"[100,44,35,18,28,28,23,18,44,23,23,18]",2023-06-25,"Instant answer, Local pack, Sitelinks, Reviews, People also ask, Find results on, Indented, Related searches","commercial, informational",Organic
hopital de longjumeau,21,26,3600,36,0.00,https://www.portakabin.com/fr/etudes-de-cas/hopital-de-longjumeau/,1,0.03,0.00,0,98,"[66,81,81,66,81,81,81,81,100,44,44,44]",2023-06-24,"Knowledge panel, Sitelinks, Reviews, Image, Indented, Related searches","commercial, navigational",Organic
alta,31,31,2400,37,0.00,https://www.portakabin.com/fr/nos-batiments/notre-gamme-de-produits/batiments-assemblables/alta/,1,0.03,0.00,0,7240000000,"[82,82,82,100,100,100,100,100,100,65,82,82]",2023-06-20,"Knowledge panel, Image pack, Sitelinks, Reviews, Image","informational, transactional",Organic
portakabin rennes,2,2,70,24,24.84,https://www.portakabin.com/fr/,1,0.03,24.00,0.69,69,"[23,23,23,33,19,33,52,33,42,9,33,14]",2023-06-09,"Knowledge panel, Image pack, Reviews, Image, Ads top, Indented, Related searches","navigational, transactional",Organic
bureau modulable occasion,1,1,50,7,1.24,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/bureau-modulaire-occasion/,1,0.03,2.00,1,91,"[64,50,78,50,50,21,28,35,14,28,35,35]",2023-05-30,"Local pack, Image pack, Reviews, Image, Find results on, Indented, Related searches",commercial,Organic
construction modulable,9,9,140,43,1.63,https://www.portakabin.com/fr/,1,0.03,1.00,0.96,10900000,"[53,66,66,23,35,43,28,17,23,23,28,28]",2023-06-07,"Knowledge panel, Local pack, Sitelinks, Reviews, Image, People also ask, Find results on, Indented, Related searches",informational,Organic
batiment modulable,10,10,320,36,2.64,https://www.portakabin.com/fr/pourquoi-modulaire/quest-ce-que-la-construction-modulaire/,1,0.03,2.00,1,7250000,"[72,88,59,88,14,17,14,5,11,11,11,11]",2023-06-19,"Image pack, Sitelinks, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
constructeur modulaire,12,12,590,37,1.63,https://www.portakabin.com/fr/pourquoi-modulaire/quest-ce-que-la-construction-modulaire/,1,0.03,1.00,0.96,9330000,"[54,54,54,54,0,3,0,10,2,0,0,30]",2023-06-13,"Local pack, Image pack, Sitelinks, Reviews, Find results on, Indented, Related searches",commercial,Organic
portakabin crespin,2,2,40,22,1.43,https://www.portakabin.com/fr/actualites-et-evenements/actualites/crespin/,1,0.03,1.00,0.49,81,"[35,35,28,21,28,28,21,14,50,35,28,35]",2023-06-15,"Knowledge panel, Image pack, Reviews, Image, Indented",informational,Organic
portakabin crespin,10,10,40,22,1.43,https://www.portakabin.com/fr/nos-agences/usine-de-valenciennes/,1,0.03,1.00,0.49,81,"[35,35,28,21,28,28,21,14,50,35,28,35]",2023-06-15,"Knowledge panel, Image pack, Reviews, Image, Indented",informational,Knowledge panel
salle de consultation,1,1,40,24,0.00,https://www.portakabin.com/fr/nos-batiments/etablissements-de-sante/clinique/salles-de-consultations-et-de-soins/,1,0.03,0.00,0.01,27800000,"[10,17,7,5,10,5,7,5,28,5,5,10]",2023-06-02,"Image pack, Reviews, People also ask, Related searches",informational,Organic
hopital longjumeau,29,27,5400,32,0.00,https://www.portakabin.com/fr/etudes-de-cas/hopital-de-longjumeau/,1,0.03,0.00,0,95,"[54,81,54,66,66,66,66,66,66,54,81,44]",2023-06-25,"Knowledge panel, Sitelinks, Reviews, Related searches","commercial, navigational",Organic
bureau modulaire,28,28,720,6,0.95,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/bureau-modulaire-occasion/,1,0.03,0.00,1,9680000,"[16,62,62,55,55,30,36,16,20,81,100,36]",2023-06-20,"Image pack, Reviews, Image, Ads bottom, Indented, Related searches",informational,Organic
mairie grand couronne,13,13,1000,25,0.00,https://www.portakabin.com/fr/etudes-de-cas/mairie-de-grand-couronne/,1,0.03,0.00,0,4030000,"[10,81,55,62,13,62,62,5,100,62,81,81]",2023-06-20,"Knowledge panel, Image pack, Sitelinks, Image, Related searches",navigational,Organic
multipharma,10,10,590,37,0.36,https://www.portakabin.com/lu-fr/etudes-de-cas/multipharma/,1,0.03,0.00,0.04,70,"[81,81,100,100,81,81,81,67,67,36,36,36]",2023-06-24,"Local pack, Sitelinks, Reviews, Image, Indented, Related searches",navigational,Organic
portakabin corbas,10,10,30,22,34.36,http://www.portakabin.com/fr/,1,0.03,36.00,0.14,74,"[6,10,4,14,4,4,4,4,6,4,4,4]",2023-05-28,"Knowledge panel, Image pack, Reviews, Image, Indented, Related searches",informational,Knowledge panel
préfabriqué occasion,12,12,110,4,0.70,https://www.portakabin.com/fr/nos-batiments/bureaux-de-chantier/bureau-modulaire-occasion/,1,0.03,0.00,0.99,189000,"[52,52,42,66,42,52,52,52,52,42,66,42]",2023-06-19,"Reviews, Image, Indented, Related searches","commercial, informational",Organic
boucherie tornier,10,10,210,33,0.00,https://www.portakabin.com/fr/etudes-de-cas/boucherie-tornier/,1,0.03,0.00,0,59,"[5,5,8,100,5,5,6,10,4,3,5,5]",2023-06-11,"Knowledge panel, Image pack, Sitelinks, Reviews, FAQ, Indented, Related searches",navigational,Organic
loo,50,45,12100,39,0.00,https://www.portakabin.com/fr/a-propos-de-nous/marques-deposees/portaloo-ou-porta-loo/,1,0.03,0.00,0,305000000,"[13,10,10,54,66,54,81,66,100,66,54,54]",2023-06-24,"Instant answer, Image pack, Sitelinks, Reviews, Indented, Related searches",informational,Organic
prefabriqués,30,30,110,18,0.95,https://www.portakabin.com/fr/pourquoi-modulaire/les-avantages-des-batiments-prefabriques/,0,0,0.00,0.95,8640000,"[7,100,53,0,0,66,43,28,0,0,0,0]",2023-06-17,"Knowledge panel, Local pack, Reviews, Video Carousel, People also ask, Find results on, Indented, Related searches","commercial, informational",Organic
operating theatre,71,71,50,32,0.00,https://www.portakabin.com/gb-en/our-buildings/health-facilities/clinical/operating-theatres/,0,0,0.00,0.01,256000000,"[33,33,33,33,77,55,100,33,77,33,55,77]",2023-06-23,"Instant answer, Knowledge panel, Sitelinks, Reviews, Image, Indented, Related searches",informational,Organic
la charlotte,34,34,1000,48,0.00,https://www.portakabin.com/fr/actualites-et-evenements/actualites/la-charlotte/,0,0,0.00,0.01,731000000,"[52,52,46,46,84,84,68,100,52,37,46,37]",2023-06-19,"Local pack, Image pack, Sitelinks, Reviews, Video Carousel, Find results on, Indented, Related searches","commercial, navigational",Organic
toilettes completes,68,68,50,9,0.00,https://www.portakabin.com/fr/nos-batiments/toilettes-douches-et-vestiaires/,0,0,0.00,1,26200000,"[63,63,0,100,63,81,18,18,18,9,45,81]",2023-06-15,"Image pack, Reviews, Image, Indented, Related searches",transactional,Organic
cesi sas,77,77,50,21,0.00,https://www.portakabin.com/fr/etudes-de-cas/cesi/,0,0,0.00,0.02,823000,"[45,45,36,27,36,45,45,36,63,45,36,27]",2023-06-15,"Knowledge panel, Image pack, Sitelinks, Reviews, People also ask, Indented, Related searches","informational, transactional",Organic
the privacy marseille,78,78,50,32,0.00,https://www.portakabin.com/fr/nos-agences/agence-de-marseille/,0,0,0.00,0,72300000,"[82,100,52,29,23,23,17,11,11,11,11,11]",2023-06-04,"Knowledge panel, Image pack, Sitelinks, Reviews, Image, FAQ, Indented, Related searches",transactional,Organic
